mc,L,F,q,s_max_den,n_density,iteration
2,50,2,500,0.0008,0.024081632653061225,885
2,50,2,500,0.0008,0.023061224489795917,1128
2,50,2,500,0.0008,0.022653061224489797,1438
2,50,2,500,0.0008,0.02142857142857143,1832
2,50,2,500,0.0008,0.02040816326530612,2335
2,50,2,500,0.0008,0.018367346938775512,2976
2,50,2,500,0.0008,0.016122448979591836,3792
2,50,2,500,0.0008,0.015306122448979591,4832
2,50,2,500,0.0008,0.013673469387755101,6158
2,50,2,500,0.0008,0.012244897959183673,7847
2,50,2,500,0.0008,0.009591836734693878,10000
2,50,2,500,0.0012,0.007551020408163266,12742
2,50,2,500,0.0012,0.0067346938775510205,16237
2,50,2,500,0.0016,0.00510204081632653,20691
2,50,2,500,0.0016,0.0038775510204081634,26366
2,50,2,500,0.0016,0.0012244897959183673,33598
2,50,2,500,0.0016,0.0012244897959183673,42813
2,50,2,500,0.0016,0.0006122448979591836,54555
2,50,2,500,0.0016,0.00040816326530612246,69519
2,50,2,500,0.0016,0.00040816326530612246,88586
2,50,2,500,0.0016,0.00040816326530612246,112883
2,50,2,500,0.0016,0.00040816326530612246,143844
2,50,2,500,0.0016,0.00040816326530612246,183298
2,50,2,500,0.0016,0.00040816326530612246,233572
2,50,2,500,0.0016,0.00040816326530612246,297635
2,50,2,500,0.0016,0.00040816326530612246,379269
2,50,2,500,0.0016,0.00040816326530612246,483293
2,50,2,500,0.0016,0.00040816326530612246,615848
2,50,2,500,0.0016,0.00040816326530612246,784759
2,50,2,500,0.0016,0.00040816326530612246,1000000
2,50,2,500,0.0016,0.00040816326530612246,1274274
2,50,2,500,0.0016,0.00040816326530612246,1623776
2,50,2,500,0.0016,0.00040816326530612246,2069138
2,50,2,500,0.0016,0.00040816326530612246,2636650
2,50,2,500,0.0016,0.00040816326530612246,3359818
2,50,2,500,0.0016,0.00040816326530612246,4281332
2,50,2,500,0.0016,0.00040816326530612246,5455594
2,50,2,500,0.0016,0.00040816326530612246,6951927
2,50,2,500,0.0016,0.00040816326530612246,8858667
2,50,2,500,0.0016,0.00040816326530612246,11288378
2,50,2,500,0.0016,0.00040816326530612246,14384498
2,50,2,500,0.0016,0.00040816326530612246,18329807
2,50,2,500,0.0016,0.00040816326530612246,23357214
2,50,2,500,0.0016,0.00040816326530612246,29763514
2,50,2,500,0.0016,0.00040816326530612246,37926901
2,50,2,500,0.0016,0.00040816326530612246,48329302
2,50,2,500,0.0016,0.00040816326530612246,61584821
2,50,2,500,0.0016,0.00040816326530612246,78475997
2,50,2,500,0.0016,0.00040816326530612246,100000000
2,50,2,500,0.0016,0.00040816326530612246,127427498
2,50,2,500,0.0016,0.00040816326530612246,162377673
2,50,2,500,0.0016,0.00040816326530612246,206913808
2,50,2,500,0.0016,0.00040816326530612246,263665089
2,50,2,500,0.0016,0.00040816326530612246,335981828
2,50,2,500,0.0016,0.00040816326530612246,428133239
2,50,2,500,0.0016,0.00040816326530612246,545559478
2,50,2,500,0.0016,0.00040816326530612246,695192796
2,50,2,500,0.0016,0.00040816326530612246,885866790
2,50,2,500,0.0016,0.00040816326530612246,1128837891
2,50,2,500,0.0016,0.00040816326530612246,1438449888
2,50,2,500,0.0016,0.00040816326530612246,1832980710
