mc,F,q,s_max_den,n_density,iteration
2,2,2,0.052,0.0,11236619
2,2,2,0.052,0.0,13541833
2,2,2,0.052,0.0,16319966
2,2,2,0.052,0.0,19668038
2,2,2,0.052,0.0,23702974
2,2,2,0.052,0.0,28565684
2,2,2,0.052,0.0,34425988
2,2,2,0.052,0.0,41488545
2,2,2,0.052,0.0,49999999
3,2,2,0.018,0.32732732732732733,1
3,2,2,0.018,0.32732732732732733,2
3,2,2,0.018,0.32732732732732733,3
3,2,2,0.018,0.3263263263263263,4
3,2,2,0.018,0.3263263263263263,5
3,2,2,0.018,0.3253253253253253,6
3,2,2,0.018,0.3253253253253253,7
3,2,2,0.018,0.3253253253253253,9
3,2,2,0.018,0.32432432432432434,11
3,2,2,0.018,0.32432432432432434,13
3,2,2,0.019,0.3233233233233233,16
3,2,2,0.019,0.3233233233233233,19
3,2,2,0.019,0.3233233233233233,23
3,2,2,0.02,0.3203203203203203,28
3,2,2,0.02,0.3203203203203203,34
3,2,2,0.02,0.3203203203203203,41
3,2,2,0.02,0.31931931931931934,50
3,2,2,0.02,0.31931931931931934,60
3,2,2,0.02,0.3163163163163163,73
3,2,2,0.021,0.3133133133133133,88
3,2,2,0.021,0.3133133133133133,106
3,2,2,0.021,0.3103103103103103,127
3,2,2,0.021,0.3103103103103103,154
3,2,2,0.021,0.3073073073073073,185
3,2,2,0.024,0.2992992992992993,223
3,2,2,0.027,0.29429429429429427,269
3,2,2,0.029,0.2802802802802803,325
3,2,2,0.032,0.27427427427427425,392
3,2,2,0.034,0.26426426426426425,472
3,2,2,0.038,0.24124124124124124,569
3,2,2,0.046,0.22822822822822822,686
3,2,2,0.049,0.2122122122122122,826
3,2,2,0.053,0.2042042042042042,996
3,2,2,0.057,0.18618618618618618,1201
3,2,2,0.062,0.16716716716716717,1447
3,2,2,0.065,0.14914914914914915,1744
3,2,2,0.068,0.12912912912912913,2102
3,2,2,0.071,0.11011011011011011,2533
3,2,2,0.077,0.1001001001001001,3053
3,2,2,0.086,0.09309309309309309,3679
3,2,2,0.095,0.06806806806806807,4434
3,2,2,0.103,0.056056056056056056,5344
3,2,2,0.117,0.043043043043043044,6441
3,2,2,0.126,0.035035035035035036,7762
3,2,2,0.143,0.05405405405405406,9355
3,2,2,0.176,0.03203203203203203,11274
3,2,2,0.197,0.014014014014014014,13587
3,2,2,0.211,0.006006006006006006,16374
3,2,2,0.235,0.007007007007007007,19733
3,2,2,0.271,0.008008008008008008,23782
3,2,2,0.278,0.001001001001001001,28661
3,2,2,0.278,0.001001001001001001,34541
3,2,2,0.279,0.0,41627
3,2,2,0.279,0.0,50167
3,2,2,0.279,0.0,60459
3,2,2,0.279,0.0,72863
3,2,2,0.279,0.0,87811
3,2,2,0.279,0.0,105825
3,2,2,0.279,0.0,127535
3,2,2,0.279,0.0,153700
3,2,2,0.279,0.0,185232
3,2,2,0.279,0.0,223232
3,2,2,0.279,0.0,269029
3,2,2,0.279,0.0,324221
3,2,2,0.279,0.0,390736
3,2,2,0.279,0.0,470896
3,2,2,0.279,0.0,567501
3,2,2,0.279,0.0,683925
3,2,2,0.279,0.0,824234
3,2,2,0.279,0.0,993327
